peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g03602.t1	0	1	0	0	0	0	0	0	0	0	2	0	0	2	1
Hhon_g03605.t1	4	6	1	1	1	0	2	0	1	1	1	2	2	1	0
Hhon_g03606.t1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Hhon_g03608.t1	1	6	3	1	2	1	1	1	10	2	1	3	1	1	3
Hhon_g03612.t1	0	3	0	1	0	0	3	0	2	0	0	0	0	0	0
Hhon_g03614.t1	2	10	8	3	2	5	16	13	24	5	3	22	1	10	0
Hhon_g03618.t1	0	4	2	0	3	1	1	0	1	0	1	0	0	1	0
Hhon_g03620.t1	4	6	0	1	0	1	6	0	9	1	5	10	3	2	0
Hhon_g03622.t1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0
Hhon_g03624.t1	0	2	1	0	0	0	0	0	1	0	2	4	0	1	0
Hhon_g03626.t1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03628.t1	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0
Hhon_g03630.t1	0	2	3	3	0	2	4	4	4	0	1	1	5	0	1
Hhon_g03632.t1	1	6	2	1	0	0	1	4	8	0	6	1	1	0	0
Hhon_g03635.t1	0	0	0	0	0	0	2	0	86	0	1	2	0	0	0
Hhon_g03636.t1	0	0	0	0	0	9	21	6	124	0	0	3	38	115	126
Hhon_g03637.t1	0	0	0	0	0	0	0	3	68	0	0	0	0	14	21
Hhon_g03638.t1	1	7	3	3	0	0	7	4	15	1	0	8	1	3	1
Hhon_g03640.t1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
Hhon_orphan_731	0	2	0	1	1	1	7	2	7	1	1	4	0	6	0
Hhon_g03645.t1	2	6	6	1	1	4	6	2	12	4	5	3	3	3	1
Hhon_g03647.t1	1	1	1	1	0	14	22	0	10	0	0	0	5	0	0
Hhon_g03649.t1	0	0	0	0	0	1	4	1	3	0	1	1	1	0	0
Hhon_g03652.t1	0	1	0	0	0	1	0	0	2	0	0	2	0	4	0
Hhon_g03654.t1	0	0	0	1	0	0	2	0	0	0	2	0	1	0	0
Hhon_g03577.t1	1	7	0	0	0	0	3	1	9	0	3	3	2	1	0
Hhon_orphan_732	0	4	0	0	0	1	1	0	2	0	1	1	0	0	0
Hhon_g03579.t1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Hhon_g03580.t1	1	7	6	2	5	10	10	17	14	3	8	10	4	6	1
Hhon_g03582.t1	0	1	0	1	0	0	1	0	3	1	6	3	0	0	0
Hhon_g03584.t1	0	7	3	4	1	3	11	3	6	5	8	3	1	0	5
Hhon_g03586.t1	7	28	3	2	1	1	16	1	23	3	3	3	6	5	2
Hhon_g03588.t1	0	3	11	2	3	4	18	9	18	2	2	3	2	6	0
Hhon_g03590.t1	2	6	3	1	1	2	11	4	23	5	10	2	2	1	0
Hhon_g03592.t1	1	6	4	3	2	3	12	5	10	0	8	4	2	1	0
Hhon_g03593.t1	3	17	11	2	3	4	23	5	32	2	9	13	3	3	2
Hhon_orphan_733	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g03598.t1	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0
Hhon_g03600.t1	1	1	0	0	0	0	1	0	5	0	1	1	0	0	0
Hhon_orphan_734	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_orphan_735	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03603.t1	1	3	2	0	1	0	4	1	4	0	5	1	0	0	0
Hhon_g03604.t1	0	13	5	2	3	6	4	3	21	0	5	1	2	1	2
Hhon_g03607.t1	4	7	5	1	1	2	7	4	16	5	0	6	5	4	0
Hhon_g03609.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03611.t1	1	1	1	1	1	0	3	0	5	1	1	0	0	1	0
Hhon_g03613.t1	0	2	8	0	2	0	7	0	10	0	0	17	7	4	4
Hhon_orphan_736	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0
Hhon_g03615.t1	0	3	2	1	0	1	1	0	0	0	0	0	0	1	1
Hhon_g03616.t1	0	2	1	1	0	0	0	1	7	3	0	1	0	1	0
Hhon_g03617.t1	11	20	0	1	0	0	1	1	1	0	2	0	0	1	1
Hhon_g03619.t1	1	2	2	1	1	6	5	2	14	2	2	3	3	3	1
Hhon_g03621.t1	0	7	0	0	2	3	2	1	1	3	2	2	0	2	1
Hhon_g03623.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g03625.t1	5	6	13	2	3	5	23	16	11	5	4	5	7	13	6
Hhon_g03627.t1	3	8	6	9	5	3	19	7	19	4	8	11	8	1	0
Hhon_g03629.t1	0	1	0	1	0	0	3	1	2	0	2	1	0	3	0
Hhon_g03631.t1	0	4	3	0	0	1	4	3	5	1	1	0	3	1	0
Hhon_g03633.t1	5	9	3	0	2	0	3	5	13	3	1	5	2	4	1
Hhon_g03634.t1	1	7	5	2	1	2	2	2	16	3	2	2	2	2	2
Hhon_orphan_737	0	0	0	0	0	1	0	1	33	0	0	0	0	0	0
Hhon_orphan_738	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Hhon_g03639.t1	20	29	24	3	8	12	26	21	72	8	14	12	7	16	2
Hhon_g03641.t1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Hhon_g03642.t1	2	9	5	1	3	1	4	5	34	2	2	1	3	0	0
Hhon_g03643.t1	0	0	2	0	1	0	0	2	1	0	0	0	0	0	0
Hhon_g03644.t1	5	27	34	4	17	16	27	18	62	7	38	45	15	16	10
Hhon_g03646.t1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03648.t1	0	11	5	2	2	0	9	0	6	1	9	17	0	1	2
Hhon_g03650.t1	1	9	5	0	1	1	4	0	10	3	3	2	1	2	3
Hhon_g03651.t1	2	6	3	0	0	3	4	2	6	0	4	0	1	0	3
Hhon_g03653.t1	1	1	0	0	0	2	2	0	2	0	0	3	0	2	0
Hhon_g03657.t1	0	0	0	0	0	0	1	0	1645	0	0	0	0	0	0
Hhon_g03658.t1	0	2	2	0	0	1	3694	2	1917	1	5	7	0	0	0
Hhon_g03659.t1	0	0	2	0	1	0	4	1	12	0	1	1	0	1	0
Hhon_g03661.t1	2	0	1	2	1	1	4	2	8	0	1	0	1	0	1
Hhon_g03664.t1	0	1	0	0	0	0	4	0	2	1	1	5	0	1	1
Hhon_g03666.t1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
Hhon_orphan_739	0	0	0	0	4	0	2	0	1	0	0	0	2	1	1
Hhon_orphan_740	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Hhon_g03676.t1	4	16	11	1	11	1	10	1	30	5	13	17	5	13	3
Hhon_g03677.t1	3	1	3	0	1	0	5	0	4	0	2	1	0	0	0
Hhon_g03679.t1	0	1	1	0	0	0	1	0	2	0	0	1	0	1	0
Hhon_g03681.t1	0	6	3	0	0	1	7	0	6	0	2	2	0	0	0
Hhon_orphan_743	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03687.t1	178	341	124	33	86	55	262	301	765	37	188	199	98	92	59
Hhon_g03688.t1	6	33	4	0	0	3	6	6	13	1	3	4	2	8	1
Hhon_g03689.t1	26	92	13	3	11	3	19	5	27	7	11	26	27	13	8
Hhon_g03691.t1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0
Hhon_g03694.t1	8	11	5	1	7	3	13	5	27	0	2	11	2	3	2
Hhon_g03696.t1	2	8	7	2	4	3	15	6	15	2	7	3	2	5	3
Hhon_g03698.t1	0	5	24	3	7	8	15	4	31	4	10	5	6	3	1
Hhon_g03699.t1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0
Hhon_g03700.t1	7	24	1	0	0	0	0	0	9	1	1	4	0	0	0
Hhon_g03701.t1	4	11	0	0	0	0	3	0	5	5	0	0	2	1	0
Hhon_g03702.t1	0	1	0	0	0	0	1	2	2	0	5	1	0	1	0
Hhon_g03704.t1	2	0	1	0	2	1	4	3	7	1	2	1	0	0	0
Hhon_g03706.t1	0	7	3	0	0	1	21	9	17	0	3	5	2	3	1
Hhon_g03708.t1	3	22	1	4	0	1	2	0	11	2	2	7	0	1	1
Hhon_g03711.t1	1	1	1	1	1	1	3	0	4	0	0	0	0	1	0
Hhon_orphan_745	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g03713.t1	0	1	1	0	2	1	1	3	5	2	3	3	0	3	1
Hhon_g03714.t1	4	16	4	3	1	0	4	6	12	2	3	11	3	1	2
Hhon_g03716.t1	2	36	14	5	10	9	31	12	41	7	8	11	2	10	3
Hhon_g03719.t1	1	2	4	1	2	2	4	1	3	2	3	5	1	1	0
Hhon_g03720.t1	0	0	0	2	0	2	4	2	12	0	1	4	0	0	0
Hhon_orphan_746	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g03724.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
Hhon_g03726.t1	0	5	0	0	0	5	4	1	7	0	2	0	0	0	0
Hhon_g03729.t1	4	13	13	3	3	2	11	2	9	2	7	8	1	3	2
Hhon_g03731.t1	74	197	92	32	58	41	131	93	270	36	62	70	58	67	24
Hhon_g03733.t1	0	2	2	1	0	0	4	0	0	0	1	0	0	1	1
Hhon_g03737.t1	25	72	71	17	35	30	103	54	170	17	65	96	26	37	8
Hhon_orphan_747	0	2	13	2	2	4	17	11	17	2	0	1	2	4	0
Hhon_g03738.t1	5	12	20	10	7	18	40	30	44	2	8	8	13	11	5
Hhon_g03739.t1	6	89	33	19	2	2	48	17	17	0	0	0	0	3	4
Hhon_orphan_748	0	0	0	2	1	6	4	1	11	0	0	0	0	3	1
Hhon_g03660.t1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0
Hhon_g03663.t1	2	2	0	0	0	1	1	2	7	2	1	3	0	2	0
Hhon_g03665.t1	0	3	0	0	0	1	3	0	0	1	1	0	0	0	0
Hhon_g03667.t1	10	33	13	4	8	9	20	9	35	0	15	19	8	11	3
Hhon_g03668.t1	1	1	1	0	0	0	0	1	3	0	1	0	1	1	0
Hhon_g03669.t1	0	3	26	0	1	0	0	0	24	2	2	0	0	9	0
Hhon_g03670.t1	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0
Hhon_orphan_749	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0
Hhon_g03671.t1	0	1	1	0	0	0	2	0	106	0	1	0	0	0	0
Hhon_g03672.t1	1	12	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g03673.t1	0	5	0	0	0	1	0	2	5	0	0	2	0	0	1
Hhon_g03675.t1	1	0	0	0	0	0	2	1	29	0	1	0	0	1	0
Hhon_orphan_751	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Hhon_g03678.t1	0	4	3	1	0	0	1	1	2	1	2	1	1	0	1
Hhon_g03680.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2
Hhon_g03682.t1	2	15	8	0	2	7	13	2	19	0	3	14	3	5	1
Hhon_g03683.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03684.t1	0	4	0	0	1	0	3	1	2	0	0	0	0	1	1
Hhon_g03685.t1	1	1	1	0	1	0	2	1	14	1	5	1	2	1	0
Hhon_g03686.t1	2	11	10	3	6	1	10	3	31	6	7	3	3	5	1
Hhon_g03690.t1	0	2	1	0	1	0	4	0	1	0	0	1	0	1	0
Hhon_g03692.t1	5	5	5	1	1	3	3	2	15	1	4	3	3	1	0
Hhon_g03693.t1	8	31	25	5	11	8	33	14	57	3	18	12	11	8	1
Hhon_g03695.t1	0	4	1	1	1	0	4	2	4	1	0	2	2	4	0
Hhon_g03697.t1	1	14	9	2	9	3	12	4	24	4	5	14	3	8	2
Hhon_g03703.t1	2	10	6	2	0	1	9	9	16	2	6	4	6	2	0
Hhon_g03707.t1	3	9	1	0	1	0	1	1	4	0	1	0	0	0	0
Hhon_g03709.t1	0	6	0	1	0	0	4	0	1	0	7	0	1	3	2
Hhon_g03710.t1	3	10	4	3	5	1	8	5	14	0	8	9	5	7	1
Hhon_g03712.t1	1	18	6	2	1	3	9	8	10	4	5	5	1	8	2
Hhon_g03715.t1	252	523	187	50	87	83	402	304	996	72	240	127	171	142	63
Hhon_g03717.t1	1	9	3	0	4	3	9	2	8	1	2	6	3	4	2
Hhon_g03718.t1	0	4	1	0	1	0	2	0	7	0	1	0	0	1	0
Hhon_g03723.t1	0	12	7	1	1	0	8	7	11	3	3	2	2	1	0
Hhon_g03725.t1	0	2	0	1	0	1	4	0	2	1	3	0	0	3	2
Hhon_g03728.t1	4	4	2	1	4	1	7	0	10	0	2	3	4	1	1
Hhon_orphan_753	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g03730.t1	5	11	8	6	5	9	16	3	24	5	4	5	1	2	0
Hhon_g03732.t1	12	40	9	1	10	8	22	9	46	8	9	8	16	14	4
Hhon_g03734.t1	0	0	1	0	0	0	4	0	6	3	1	0	1	23	11
Hhon_g03735.t1	28	121	108	20	35	31	140	71	118	21	41	25	43	28	7
Hhon_g03736.t1	1	22	12	1	5	4	14	8	13	0	3	6	5	7	2
Hhon_g03740.t1	1	2	1	1	2	0	2	0	6	1	0	1	2	1	0
Hhon_g03743.t1	0	0	0	1	2	3	8	0	15	0	2	0	0	0	0
Hhon_g03747.t1	8	6	4	0	3	4	5	2	12	4	6	11	0	2	2
Hhon_g03749.t1	4	16	13	1	3	5	11	7	22	8	9	21	1	8	10
Hhon_g03751.t1	0	33	32	7	30	28	65	26	89	5	16	25	29	15	5
Hhon_g03753.t1	7	27	11	3	5	9	42	13	65	18	13	8	3	17	1
Hhon_g03754.t1	2	7	10	0	3	3	13	4	14	1	2	6	2	4	2
Hhon_orphan_755	3	12	7	3	6	3	11	2	13	1	6	4	3	1	1
Hhon_g03756.t1	30	89	71	10	27	34	82	58	161	13	42	46	24	28	4
Hhon_g03757.t1	9	31	19	2	8	4	17	14	35	9	16	9	5	6	5
Hhon_g03758.t1	8	27	18	4	8	9	25	10	56	7	15	12	9	12	5
Hhon_g03761.t1	0	23	53	6	16	41	110	48	111	19	17	9	39	29	17
Hhon_g03763.t1	22	47	36	3	12	10	36	14	53	8	9	37	15	28	6
Hhon_g03765.t1	4	16	9	3	9	4	17	9	33	7	10	17	9	13	2
Hhon_g03767.t1	16	73	75	16	20	14	66	50	142	16	41	52	23	50	6
Hhon_g03769.t1	0	1	0	0	0	0	5	0	2	0	4	0	0	3	0
Hhon_g03771.t1	5	27	17	2	4	5	16	9	35	6	10	11	14	9	2
Hhon_g03773.t1	5	8	10	2	6	4	3	7	16	6	4	9	5	4	0
Hhon_g03776.t1	21	76	51	7	14	25	71	42	118	19	44	44	23	18	8
Hhon_g03777.t1	7	15	4	0	4	5	19	4	33	1	17	4	2	4	3
Hhon_g03779.t1	5	14	18	3	9	4	9	6	36	4	9	4	2	6	3
Hhon_g03782.t1	19	44	18	3	6	11	38	15	62	4	13	16	15	28	9
Hhon_g03784.t1	7	12	9	1	2	5	12	6	31	4	6	7	3	2	1
Hhon_g03786.t1	21	52	105	14	39	51	107	35	128	13	28	12	35	25	5
Hhon_g03788.t1	8	10	12	3	10	1	19	6	21	5	14	15	6	5	4
Hhon_g03790.t1	3	20	7	2	3	3	17	5	16	4	4	4	3	13	6
Hhon_g03792.t1	5	8	3	3	6	4	16	4	18	3	9	13	3	12	8
Hhon_g03794.t1	2	6	0	0	1	0	2	0	1	2	4	1	1	0	1
Hhon_g03795.t1	4	11	4	1	0	1	4	5	18	2	2	9	0	1	0
Hhon_g03797.t1	24	102	52	7	21	14	55	29	124	20	43	38	12	24	11
Hhon_g03799.t1	32	139	110	26	53	47	161	66	283	32	89	114	50	70	19
Hhon_g03801.t1	0	72	171	26	53	35	65	33	323	14	14	15	2	37	5
Hhon_g03802.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03803.t1	3	5	3	0	2	2	10	1	18	1	5	4	8	1	2
Hhon_g03805.t1	2	11	18	1	5	1	16	3	33	4	6	5	0	8	3
Hhon_orphan_757	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
Hhon_orphan_758	1	1	0	1	1	2	16	12	13	0	2	0	1	0	0
Hhon_g03811.t1	2	15	8	3	5	4	15	3	18	3	11	11	1	3	3
Hhon_g03812.t1	1	27	15	19	18	11	34	26	76	16	43	25	11	12	0
Hhon_g03814.t1	19	54	29	4	23	12	42	21	73	16	27	16	11	13	4
Hhon_g03818.t1	1	1	1	1	0	1	2	1	8	0	1	2	0	2	0
Hhon_g03819.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03821.t1	0	1	1	0	1	1	1	0	4	0	3	0	0	0	0
Hhon_g03822.t1	3	9	3	0	1	0	4	0	12	0	5	5	6	2	0
Hhon_orphan_759	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
Hhon_g03824.t1	8	31	19	10	12	17	36	16	60	3	17	20	18	9	5
Hhon_g03825.t1	0	4	2	1	0	1	4	0	4	4	2	1	0	2	1
Hhon_g03830.t1	0	2	4	1	2	2	6	2	4	0	1	1	0	0	0
Hhon_g03832.t1	2	3	1	0	3	1	0	0	6	0	1	2	0	2	0
Hhon_g03835.t1	3	8	2	1	2	2	7	0	2	0	2	2	0	1	1
Hhon_g03837.t1	5	4	0	0	1	2	4	1	3	1	3	1	1	0	0
Hhon_orphan_760	0	0	0	0	0	0	0	0	7	0	1	1	0	0	0
Hhon_g03838.t1	0	2	2	1	1	0	2	2	36	4	3	1	5	3	0
Hhon_g03844.t1	0	2	9	2	1	3	7	10	8	1	1	6	1	1	0
Hhon_g03845.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g03849.t1	0	0	0	0	1	0	8	3	0	0	0	1	1	0	0
Hhon_g03746.t1	43	142	74	16	31	34	108	70	224	20	49	63	33	31	9
Hhon_g03748.t1	11	38	23	10	8	7	23	13	50	6	16	16	8	5	2
Hhon_g03750.t1	6	32	36	11	11	20	51	28	113	9	30	22	24	21	9
Hhon_g03752.t1	5	23	21	3	4	11	27	12	50	2	8	5	6	8	6
Hhon_g03755.t1	9	12	9	2	3	2	10	2	25	8	10	6	4	7	4
Hhon_orphan_761	11	29	20	6	8	15	33	14	67	3	6	17	9	7	8
Hhon_g03759.t1	2	17	18	3	6	7	34	2	34	5	13	5	8	10	0
Hhon_orphan_762	0	6	0	1	1	1	7	2	7	1	1	0	1	2	0
Hhon_g03760.t1	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0
Hhon_g03762.t1	12	48	48	10	14	10	48	15	79	8	24	29	14	20	3
Hhon_g03764.t1	5	22	11	2	8	5	21	4	28	2	14	19	6	6	1
Hhon_g03766.t1	0	5	5	1	4	3	9	4	12	3	1	4	2	2	1
Hhon_g03768.t1	1	15	30	5	11	13	48	7	42	1	18	6	16	10	1
Hhon_g03770.t1	7	7	3	0	2	3	2	1	10	1	3	3	1	3	1
Hhon_orphan_763	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0
Hhon_g03772.t1	12	39	36	7	10	8	47	36	79	11	18	31	17	17	2
Hhon_g03774.t1	229	474	273	85	159	160	533	445	1477	106	325	323	200	248	110
Hhon_g03775.t1	28	85	54	10	18	33	70	33	129	18	38	46	16	11	14
Hhon_g03778.t1	3	10	1	1	0	0	4	0	5	1	10	3	0	0	0
Hhon_g03780.t1	0	8	56	2	5	5	7	11	119	2	17	4	0	4	1
Hhon_g03781.t1	10	22	17	0	4	6	17	12	36	0	0	14	6	10	6
Hhon_g03783.t1	10	64	76	13	30	29	91	45	183	21	34	22	32	28	12
Hhon_g03785.t1	6	10	6	0	4	1	9	11	17	1	7	9	2	12	4
Hhon_g03787.t1	3	13	11	1	4	3	12	7	31	2	9	10	5	4	1
Hhon_g03789.t1	1	9	8	0	5	3	2	4	8	3	2	6	2	3	2
Hhon_g03791.t1	0	4	0	0	0	3	2	1	1	1	0	1	2	3	0
Hhon_g03793.t1	1	4	1	0	0	1	1	1	3	1	0	6	1	1	0
Hhon_g03796.t1	0	6	4	1	1	2	6	2	6	0	2	4	1	0	1
Hhon_g03798.t1	5	6	5	2	1	4	6	4	15	3	6	2	1	1	2
Hhon_g03800.t1	0	10	2	0	1	1	2	1	31	1	4	1	4	1	0
Hhon_g03804.t1	5	10	7	1	5	2	10	4	26	4	13	3	1	7	3
Hhon_g03806.t1	0	0	3	0	0	1	11	0	2	0	1	0	2	1	0
Hhon_orphan_765	0	1	0	0	1	0	1	1	4	0	0	1	1	0	0
Hhon_g03807.t1	5	26	20	0	1	4	77	32	175	0	202	21	57	10	2
Hhon_g03808.t1	6	28	21	3	0	3	119	41	244	3	299	39	65	10	6
Hhon_g03809.t1	0	2	3	0	0	0	9	5	17	0	22	5	7	0	1
Hhon_g03810.t1	5	8	8	5	9	3	14	9	29	2	23	19	2	7	8
Hhon_g03813.t1	0	0	0	0	0	0	904	392	2	0	0	0	0	0	0
Hhon_g03815.t1	0	4	3	3	0	4	5	1	9	0	2	1	0	2	0
Hhon_g03816.t1	0	0	0	0	0	0	1	0	59	0	0	0	0	0	0
Hhon_g03817.t1	0	2	1	0	1	1	1	0	4	0	0	2	0	0	0
Hhon_g03820.t1	6	8	1	2	2	3	7	2	13	1	4	11	1	2	0
Hhon_g03823.t1	1	5	4	0	2	0	4	2	3	1	1	1	3	0	0
Hhon_orphan_766	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03826.t1	1	10	6	2	5	4	14	1	11	1	5	8	6	0	0
Hhon_g03827.t1	0	6	2	2	3	0	4	3	6	2	3	5	2	6	0
Hhon_g03828.t1	0	6	1	1	0	1	3	3	2	1	2	3	1	1	0
Hhon_g03831.t1	3	16	3	0	1	3	9	2	12	0	3	12	0	2	0
Hhon_g03833.t1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0
Hhon_g03834.t1	0	9	5	7	6	1	3	0	12	1	10	4	1	2	3
Hhon_g03836.t1	7	34	2	3	0	6	12	7	16	3	6	1	1	1	1
Hhon_g03841.t1	1	3	6	1	2	2	6	2	11	2	2	5	1	5	1
Hhon_g03842.t1	0	0	0	0	0	2	2	1	1	0	1	1	0	1	0
Hhon_g03850.t1	0	4	27	6	5	13	20	22	22	9	9	11	0	1	1
Hhon_g03861.t1	0	2	2	0	1	1	7	1	9	0	5	1	8	3	0
Hhon_g03863.t1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
Hhon_g03865.t1	1	0	1	1	1	1	1	1	3	1	1	1	0	1	0
Hhon_g03868.t1	1	2	0	0	0	1	0	1	2	0	0	1	0	0	1
Hhon_g03870.t1	5	8	5	2	1	4	5	0	11	3	1	3	2	2	0
Hhon_g03872.t1	6	17	6	4	4	2	14	7	26	2	12	18	3	1	8
Hhon_g03880.t1	4	16	13	2	3	7	24	4	34	2	5	4	5	7	3
Hhon_g03881.t1	0	1	18	2	1	2	4	6	9	5	8	3	1	4	1
Hhon_g03882.t1	0	103	284	0	2	1	0	13	6	45	50	2	1	0	0
Hhon_g03883.t1	0	34	102	0	1	1	6	2	14	39	76	8	5	3	1
Hhon_g03884.t1	0	0	0	0	0	0	0	0	0	36	97	0	3	0	0
Hhon_g03895.t1	1	5	1	1	1	3	2	0	2	1	1	5	1	2	0
Hhon_g03896.t1	0	0	1	2	2	0	7	0	3	0	0	0	0	11	3
Hhon_g03897.t1	36	28	8	2	3	5	20	13	35	6	8	9	4	10	3
Hhon_g03898.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Hhon_g03900.t1	0	2	0	0	0	0	1	0	4	0	0	1	0	1	0
Hhon_g03901.t1	0	1	6	2	2	2	3	1	5	2	1	4	4	1	0
Hhon_g03903.t1	0	1	2	0	0	0	2	0	6	0	1	0	0	4	1
Hhon_g03904.t1	0	4	2	0	1	3	0	0	6	0	2	3	1	0	0
Hhon_g03906.t1	4	33	18	4	12	16	37	20	67	7	23	34	5	7	4
Hhon_g03908.t1	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0
Hhon_g03909.t1	0	5	0	2	3	2	4	2	3	3	3	4	2	2	2
Hhon_g03910.t1	20	74	25	14	10	12	39	17	69	3	21	9	11	14	4
Hhon_g03911.t1	0	0	1	0	0	0	129	0	0	0	10	8	102	0	0
Hhon_g03912.t1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Hhon_g03913.t1	0	0	0	1	0	1	0	2	1	0	0	0	3	0	0
Hhon_g03915.t1	6	11	6	3	8	9	11	9	34	5	16	10	2	5	2
Hhon_g03916.t1	0	0	0	0	1	2	0	0	1	1	2	0	0	1	0
Hhon_g03918.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03851.t1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0
Hhon_g03853.t1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Hhon_g03854.t1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Hhon_g03855.t1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0
Hhon_g03856.t1	0	0	0	0	0	1	4	1	1	0	3	2	4	2	1
Hhon_g03858.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g03860.t1	1	6	1	0	0	0	4	3	3	0	0	1	0	1	0
Hhon_g03862.t1	0	2	2	0	3	0	6	1	8	1	1	2	0	3	0
Hhon_g03864.t1	1	4	0	0	1	1	0	0	9	1	1	0	0	0	1
Hhon_g03866.t1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03867.t1	16	58	40	6	4	1	41	13	65	16	20	19	25	121	10
Hhon_g03869.t1	55	108	94	32	48	73	170	61	242	35	82	54	85	42	22
Hhon_g03871.t1	122	277	120	38	82	56	237	186	694	45	162	141	105	78	41
Hhon_g03873.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
Hhon_g03874.t1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g03875.t1	5	2	0	1	0	2	0	0	5	0	0	0	1	1	1
Hhon_g03877.t1	0	2	0	0	0	0	2	1	0	1	0	1	2	3	0
Hhon_g03878.t1	0	3	22	743	155	43	887	0	104	0	4	5	19	949	710
Hhon_g03879.t1	1	1	0	1	2	1	1	0	1	0	2	1	1	1	0
Hhon_g03885.t1	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0
Hhon_g03886.t1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g03888.t1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Hhon_g03891.t1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Hhon_g03892.t1	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0
Hhon_g03893.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
Hhon_g03894.t1	5	10	2	2	2	0	10	9	25	0	4	2	1	6	2
Hhon_orphan_768	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Hhon_orphan_769	0	0	0	0	0	0	5	0	2	0	0	0	0	8	6
Hhon_orphan_770	0	0	2	0	0	0	1	0	0	0	0	0	0	3	1
Hhon_g03899.t1	1	2	0	0	0	1	0	0	2	0	4	1	0	0	1
Hhon_g03902.t1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0
Hhon_g03905.t1	0	3	0	0	1	0	1	2	3	2	0	1	0	2	0
