lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_PlH23_000143	30	1	4	0	3	7	5	0	0	15	7	1	73	3	0	21	49	22	37	1	5	0	5	2	3	1	12	7	4	2	2	0	2	0	0
HoiH23_PlH23_000145	58	3	5	1	0	12	17	0	9	23	14	4	139	6	1	54	82	47	85	2	6	6	2	2	4	0	10	8	7	7	14	5	3	1	4
HoiH23_orphan_17	31	2	1	1	1	7	3	1	4	3	3	0	58	0	0	17	39	10	37	2	1	1	0	1	1	3	6	1	0	2	1	2	1	0	0
HoiH23_PlH23_000146	82	2	10	0	2	34	25	2	17	28	8	4	236	7	2	83	145	57	162	10	1	22	4	3	3	6	13	9	5	12	4	5	8	4	4
HoiH23_PlH23_000147	247	11	37	9	11	82	67	4	41	116	32	20	665	21	10	202	424	177	421	14	22	32	17	13	20	24	68	16	11	28	30	24	17	14	3
HoiH23_PlH23_000148	42	0	4	1	1	17	15	1	6	9	4	1	94	2	0	36	61	30	47	1	4	8	1	3	2	1	7	7	0	9	3	4	1	4	0
HoiH23_PlH23_000149	56	0	7	0	2	13	14	4	14	33	7	4	172	1	6	54	95	38	95	2	4	8	2	4	5	5	13	9	6	8	7	9	3	0	3
HoiH23_orphan_18	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
HoiH23_PlH23_000152	32	1	6	1	2	7	15	0	5	18	8	2	91	1	1	47	84	34	75	1	3	2	1	2	1	1	10	6	3	3	3	4	3	5	2
HoiH23_PlH23_000153	7	0	0	1	0	2	1	0	2	6	2	2	24	2	1	4	15	3	17	0	0	1	0	2	2	0	1	0	0	1	0	0	0	0	0
HoiH23_PlH23_000154	43	1	8	3	1	13	10	1	5	16	3	7	85	5	2	29	67	31	64	2	6	5	2	3	3	1	6	1	3	2	3	4	3	5	1
HoiH23_PlH23_000155	18	0	4	1	0	2	3	1	7	5	1	1	20	1	0	3	22	10	24	0	1	1	1	0	0	0	3	2	2	0	2	0	0	0	0
HoiH23_PlH23_000156	18	0	0	0	2	5	5	0	4	3	2	2	41	4	0	26	32	20	42	0	1	3	0	1	0	0	7	2	1	3	1	2	2	1	0
HoiH23_PlH23_000157	3	0	6	0	0	1	1	1	5	3	0	0	11	2	0	6	12	6	6	0	2	0	3	0	0	0	4	0	1	1	2	2	0	4	0
HoiH23_PlH23_000158	21	0	2	1	0	7	5	1	6	21	3	0	71	2	0	32	50	35	72	2	4	2	2	3	2	5	7	6	0	11	6	3	2	0	0
HoiH23_PlH23_000159	25	0	1	0	0	7	8	0	1	7	4	1	64	4	1	19	39	23	34	2	5	3	0	0	5	1	9	3	2	3	4	0	2	0	1
HoiH23_PlH23_000160	13	0	0	0	0	9	3	0	3	5	2	0	18	3	1	5	13	7	26	0	2	2	0	1	0	0	3	0	3	6	2	3	2	0	0
HoiH23_PlH23_000161	3	0	0	0	0	1	1	0	0	0	1	0	9	0	0	2	7	3	13	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
HoiH23_PlH23_000162	15	0	8	1	1	6	8	4	0	8	2	0	54	1	1	20	42	23	33	1	1	3	0	2	1	1	0	1	1	2	3	1	1	1	0
HoiH23_PlH23_000163	12	2	6	0	0	5	6	0	1	7	1	2	57	0	1	30	38	24	33	1	4	4	1	0	1	3	2	6	2	2	1	3	2	1	0
HoiH23_PlH23_000164	47	3	11	5	4	9	9	1	7	21	5	5	138	1	1	39	62	38	71	5	3	4	1	0	3	3	10	2	4	9	3	6	3	2	0
HoiH23_PlH23_000165	99	2	17	4	3	17	16	3	5	55	7	15	228	13	2	63	164	48	123	0	10	10	6	6	5	3	17	4	5	12	4	9	4	9	1
HoiH23_PlH23_000166	20	0	1	2	2	4	3	2	4	11	4	0	44	3	2	9	28	10	47	2	0	2	0	2	0	1	3	0	1	1	1	0	1	0	2
HoiH23_PlH23_000167	32	1	7	1	1	3	5	1	6	18	5	2	94	5	2	30	64	33	69	0	6	1	0	2	5	1	7	1	2	6	3	4	5	1	1
HoiH23_PlH23_000169	18	0	0	0	0	2	2	0	1	15	5	4	48	0	1	24	26	19	38	0	0	2	2	0	1	4	1	3	2	1	0	4	3	0	0
HoiH23_orphan_19	36	0	3	1	4	23	11	0	6	8	9	1	92	3	3	21	54	28	68	1	3	2	4	2	2	2	11	3	1	13	1	5	3	1	5
HoiH23_PlH23_000172	64	1	11	2	4	19	13	1	21	29	9	6	162	5	4	55	121	34	124	6	6	6	4	2	4	3	22	9	6	8	5	11	3	1	3
HoiH23_orphan_20	14	0	0	0	1	3	8	0	6	8	0	3	45	4	0	18	16	10	19	0	1	0	0	1	0	0	1	2	1	1	1	2	0	1	1
HoiH23_PlH23_000174	71	0	13	6	1	18	20	4	12	28	11	6	169	7	0	46	114	56	94	5	5	7	3	6	6	2	6	6	1	7	3	6	9	5	0
HoiH23_PlH23_000176	26	2	5	0	1	4	5	1	7	10	6	1	80	2	2	24	35	15	39	1	2	3	1	3	1	3	2	5	2	4	2	5	3	0	0
HoiH23_PlH23_000002	175	5	37	5	5	40	40	9	11	74	20	16	412	14	6	96	260	103	205	8	11	8	7	6	9	11	36	22	14	7	6	14	9	8	2
HoiH23_PlH23_000003	98	4	15	5	1	26	25	2	12	41	16	3	241	9	4	109	153	79	117	7	5	8	6	4	1	6	15	12	8	10	9	15	8	3	1
HoiH23_PlH23_000004	137	2	9	6	3	29	36	6	22	56	15	5	354	10	2	110	220	104	226	7	9	15	6	6	5	8	24	6	10	17	10	13	5	6	1
HoiH23_PlH23_000007	35	1	4	1	1	10	15	1	9	16	9	6	118	4	1	26	78	23	67	2	6	3	1	3	4	4	7	9	3	7	5	5	4	4	0
HoiH23_PlH23_000009	48	0	9	3	5	10	15	0	11	12	5	4	141	5	3	51	93	45	101	3	6	3	2	2	4	7	10	4	5	7	4	1	5	2	2
HoiH23_PlH23_000010	77	3	11	2	7	18	20	4	17	37	18	9	213	9	5	66	116	61	138	7	7	12	1	0	1	9	20	16	5	7	7	11	4	6	0
HoiH23_PlH23_000012	178	4	21	7	10	34	55	4	19	79	21	13	449	14	9	153	280	136	279	11	12	15	5	9	9	7	57	20	15	17	13	18	10	10	6
HoiH23_PlH23_000014	159	7	23	6	9	33	32	3	21	70	22	9	343	13	1	122	196	103	213	5	7	17	9	6	4	4	33	10	5	11	11	10	7	5	4
HoiH23_PlH23_000017	58	5	8	1	2	12	18	2	11	25	4	2	153	4	3	43	60	38	94	1	7	3	1	0	3	3	21	2	6	8	2	4	3	5	3
HoiH23_PlH23_000019	88	6	19	1	3	29	29	4	26	38	13	11	290	7	5	81	176	101	181	5	11	15	7	7	6	6	25	18	7	11	12	7	5	6	3
HoiH23_PlH23_000021	1691	93	310	66	116	179	351	64	191	888	77	141	3807	236	5	683	2021	868	1323	32	240	132	45	62	53	18	221	62	72	91	68	91	121	54	22
