metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
172	78	48325	619.551282051282	518.75	599	707.25	0.462162978664357	0.11107953904256	0.194179990825274	0.318906974251392	0.663624173741876
173	68	50027	735.691176470588	586.75	719	890	0.38775476515768	0.124568948789085	0.188101072886083	0.356091055715347	0.698725989824992
174	84	43160	513.809523809524	404	492.5	617.75	0.422218546370948	0.11881120887331	0.215695839459361	0.351741537159492	0.701767969453364
175	64	58034	906.78125	637.75	861.5	1072.75	0.425014141851163	0.11187571585101	0.163611107693928	0.312063519541635	0.693337395282801
176	83	75982	915.44578313253	507.5	807	1231	0.570613066349644	0.0873337587383071	0.126453767194835	0.260708417271633	0.651245224695865
177	34	32080	943.529411764706	486	735	1170.5	0.469119931154997	0.148716234495603	0.284852646817405	0.392007449388273	0.784813044430788
178	92	62803	682.641304347826	488	629	891	0.454875236667211	0.111119785444578	0.158308264539039	0.308963435340518	0.706251546588049
179	57	37433	656.719298245614	420	592	733	0.453850257849094	0.140896194091445	0.24646955330023	0.375622369925287	0.764148024296415
180	66	105887	1604.34848484848	991.25	1387	1863.25	0.285581572231129	0.0919448291933768	0.131830906873383	0.234836438737182	0.515128788731275
181	119	73078	614.100840336134	426.5	609	731	0.800302819123525	0.0886462976440327	0.131098317151644	0.251943131114072	0.62963130823521
182	70	129895	1855.64285714286	954.25	1594	2437	0.496578008229409	0.0753644771612294	0.107511819294094	0.201383781661967	0.567086541194435
183	82	86349	1053.03658536585	668	949	1298.25	0.548826730246156	0.0789104512850363	0.112175014687914	0.224572133990944	0.545065531326214
184	86	156186	1816.11627906977	1029.5	1656.5	2487.75	0.620965735279944	0.0628938796162644	0.0746500115222107	0.15244701188561	0.57567711676102
185	109	87546	803.174311926605	465	608	892	0.639576952641628	0.110266314242474	0.169188249683229	0.422099494041456	1.39068303999851
186	121	123885	1023.84297520661	618	975	1319	0.323100726969005	0.0787620466556968	0.10585917188798	0.196238155399909	0.467272989295486
187	125	301375	2411	1393	2015	3071	0.233161449588535	0.0328955214964401	0.0731863971878233	0.144396246922927	0.403657686346877
188	95	47948	504.715789473684	398	484	593	0.656452280090029	0.129472877537824	0.195462178512793	0.368762067256879	0.873631214819536
189	76	33542	441.342105263158	327.25	432	507.25	0.737185622808218	0.175559700258342	0.272137592541515	0.502934972179019	1.13879054599856
190	81	37985	468.950617283951	341	444	565	0.791255211279506	0.133508145097082	0.242769781313512	0.38910480989257	0.950241889809954
