lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00814.t1	24	3	0	5	8	4	26	1	50	2	1	1	26	79	9	2	31	4	8	5	0	3	3	0	3	4	7	3	0	5	0	0	3	2	4	0	1	0
Hhon_g00818.t1	14	5	3	7	3	9	21	3	30	0	0	3	22	36	7	3	31	1	5	2	0	0	2	1	0	2	1	0	0	2	0	3	1	5	4	0	0	0
Hhon_g00819.t1	9	2	0	3	0	3	17	4	31	1	1	1	13	32	8	2	15	1	4	3	0	0	1	0	1	0	1	4	0	3	0	0	2	1	1	0	0	1
Hhon_g00820.t1	293	24	16	59	69	82	361	30	715	9	32	21	351	970	140	87	420	36	111	66	21	37	38	13	12	25	66	19	9	80	11	9	32	32	71	14	15	16
Hhon_orphan_171	4	0	0	0	1	0	9	0	9	0	0	0	2	6	2	0	4	0	1	1	0	2	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1
Hhon_g00831.t1	2	1	0	1	0	0	4	0	4	1	0	0	4	7	4	0	5	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0
Hhon_g00842.t1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00848.t1	249	27	12	58	55	67	267	13	593	17	17	21	283	741	98	69	326	28	74	57	12	24	28	6	6	14	58	26	7	68	2	16	16	40	45	7	6	18
Hhon_g00849.t1	21	3	0	3	3	0	20	0	20	1	0	0	13	42	2	3	17	0	2	5	1	1	1	0	0	1	5	2	0	5	3	0	3	0	0	0	0	1
Hhon_orphan_172	2	0	0	0	1	0	0	0	0	0	0	0	1	4	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00850.t1	5	2	1	3	3	1	12	1	12	0	2	0	12	16	1	0	11	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
Hhon_g00851.t1	43	4	3	12	6	12	59	1	125	0	3	2	70	151	22	11	65	1	13	13	3	4	7	2	3	4	8	4	1	10	1	2	2	6	14	5	1	4
Hhon_g00854.t1	32	2	3	5	11	6	53	2	92	1	4	2	32	133	13	9	47	5	14	8	1	2	7	1	1	0	9	1	0	6	1	3	5	6	11	1	0	2
Hhon_g00856.t1	50	1	0	4	19	25	41	4	155	5	3	2	50	207	24	10	39	5	14	9	1	4	0	0	2	3	24	7	3	6	0	4	5	8	9	1	0	3
Hhon_g00858.t1	28	2	2	9	14	9	46	1	103	2	7	5	40	109	23	13	57	3	10	10	0	2	2	0	1	3	8	8	0	10	3	1	2	4	10	2	4	5
Hhon_orphan_173	1	0	0	0	1	2	1	0	3	0	0	1	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g00860.t1	418	44	18	131	90	115	512	46	961	19	31	23	503	1104	216	140	611	27	119	92	24	26	33	9	20	44	94	41	5	118	10	30	50	63	87	20	10	27
Hhon_g00864.t1	39	0	4	7	11	9	60	4	90	2	4	3	41	133	19	12	47	6	10	9	0	2	2	2	0	4	10	2	0	13	1	1	1	7	3	3	1	1
Hhon_orphan_174	0	0	0	0	0	0	0	0	3	0	0	0	1	9	1	1	2	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Hhon_g00865.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00866.t1	10	1	0	4	2	0	12	0	24	1	0	3	9	25	4	5	11	1	4	0	0	1	2	0	0	0	2	1	1	2	0	0	2	3	7	0	0	0
Hhon_orphan_175	3	2	1	1	2	5	11	0	21	0	0	0	5	19	0	0	15	0	5	4	1	2	0	0	0	0	2	0	0	0	0	1	1	0	2	0	0	1
Hhon_g00869.t1	130	15	5	30	35	41	147	14	356	13	14	9	144	405	80	30	182	10	47	46	6	4	18	9	13	10	31	18	4	38	2	8	17	12	25	9	5	10
Hhon_g00871.t1	23	3	0	5	4	5	23	2	55	0	1	6	26	63	9	3	23	0	7	5	1	2	6	0	0	2	8	2	1	8	1	1	0	3	8	0	0	1
Hhon_g00876.t1	104	8	6	27	31	21	102	7	192	2	3	5	103	257	27	43	112	5	20	18	3	7	8	1	3	4	21	10	5	29	4	4	3	15	12	1	1	5
Hhon_g00878.t1	35	4	3	13	10	8	28	6	66	0	1	4	28	90	19	8	33	1	4	2	1	1	5	2	4	3	5	1	1	8	1	2	2	4	7	0	1	1
Hhon_g00881.t1	3	0	0	0	0	1	7	1	9	0	1	0	3	20	3	0	4	0	1	0	0	1	0	0	0	0	1	0	0	2	0	2	0	2	2	0	0	3
Hhon_g00884.t1	35	0	0	10	6	10	59	0	116	2	1	0	45	141	12	7	69	3	12	12	1	2	6	2	0	1	1	6	1	7	2	3	0	3	33	4	2	2
Hhon_orphan_178	0	0	0	0	0	0	1	0	5	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Hhon_orphan_179	5	0	0	0	1	4	3	0	12	0	0	0	3	10	1	3	6	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Hhon_g00888.t1	7	0	0	2	3	0	4	1	14	0	0	1	10	23	6	5	6	0	0	1	0	0	0	0	1	2	0	0	0	3	0	2	0	2	1	1	0	2
Hhon_g00889.t1	5	0	0	3	2	1	1	0	11	2	2	1	6	32	2	1	11	0	3	3	0	0	2	0	0	0	0	0	0	2	3	1	1	3	4	0	0	1
Hhon_g00890.t1	35	2	0	11	7	11	52	6	94	2	4	0	38	97	13	10	34	3	2	11	0	3	4	0	1	6	14	9	1	8	0	6	1	7	2	1	1	1
Hhon_g00891.t1	300	25	18	78	75	91	390	16	747	17	25	21	396	1040	168	97	452	23	108	79	16	30	43	3	26	24	57	41	5	84	8	19	26	70	82	16	9	17
Hhon_orphan_180	1	0	0	0	1	0	1	0	1	0	0	0	0	8	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Hhon_g00893.t1	17	0	1	7	7	4	13	1	52	1	1	0	16	88	6	3	32	3	7	4	2	2	3	2	1	0	6	2	2	5	1	0	0	1	3	0	0	1
Hhon_g00895.t1	43	3	1	7	9	8	55	3	86	3	4	1	51	108	13	14	41	5	15	1	2	2	4	0	1	5	10	1	2	11	2	0	3	5	7	3	2	2
Hhon_orphan_181	2	1	0	1	0	0	6	0	11	0	1	1	5	20	4	0	5	1	2	4	0	1	1	1	0	0	1	0	1	2	0	1	0	1	1	0	0	0
Hhon_g00897.t1	99	8	7	26	27	25	131	5	256	4	11	2	91	338	44	35	137	12	37	16	6	7	9	0	5	10	31	11	3	36	5	5	7	9	25	6	3	4
Hhon_g00899.t1	78	7	3	27	17	19	94	3	165	4	10	4	88	218	39	18	113	7	31	15	9	2	10	1	3	2	14	7	2	18	6	7	10	10	14	5	1	5
Hhon_g00901.t1	444	29	24	128	97	134	577	32	1125	33	43	24	481	1405	232	139	649	36	133	100	17	25	48	14	20	23	88	45	21	102	22	27	42	70	104	11	15	24
Hhon_orphan_182	17	2	0	4	1	1	19	1	24	2	1	0	14	37	8	8	21	0	1	4	0	0	2	1	0	1	3	0	2	3	0	1	3	3	2	0	0	0
Hhon_orphan_183	47	7	1	13	12	14	73	2	112	2	4	3	67	131	25	10	58	5	10	13	0	4	9	2	3	2	9	0	4	15	0	0	7	4	6	0	1	0
Hhon_orphan_184	4	1	0	5	0	2	14	0	12	0	2	0	8	12	3	3	13	0	2	0	0	1	0	1	0	0	0	0	2	1	1	1	0	0	0	1	0	0
Hhon_g00904.t1	12	3	0	3	2	1	14	1	37	0	3	0	19	34	4	6	25	0	3	6	2	2	0	0	4	1	3	2	2	6	3	2	0	1	0	2	0	0
Hhon_g00906.t1	150	16	4	32	29	45	188	6	326	6	19	10	175	405	76	37	194	7	34	37	6	7	13	3	4	9	27	17	3	33	1	8	6	33	21	4	6	6
Hhon_g00907.t1	21	5	0	5	3	4	22	0	35	0	9	2	15	57	6	10	27	3	10	2	1	1	3	1	3	3	8	3	0	9	2	5	0	1	1	2	0	0
Hhon_g00908.t1	6	0	0	2	1	3	12	0	13	0	1	0	10	29	0	0	12	0	2	3	0	0	1	0	2	1	1	4	0	4	1	0	0	1	1	1	0	0
Hhon_orphan_185	4	0	0	4	2	3	8	0	14	0	0	1	7	21	6	1	11	1	2	1	1	0	1	1	0	0	5	2	0	3	1	0	0	1	4	0	0	0
Hhon_orphan_186	8	0	0	1	0	4	16	0	16	0	0	0	8	10	7	0	10	1	0	0	0	0	1	0	1	1	2	2	0	2	1	0	1	1	0	0	0	0
Hhon_g00909.t1	85	4	3	20	23	21	98	6	227	5	4	3	113	226	33	35	121	3	11	12	4	8	13	7	5	12	17	6	5	34	1	1	5	13	26	4	5	3
Hhon_orphan_187	8	3	0	3	2	5	18	0	41	1	1	0	9	44	12	5	25	3	3	6	0	1	0	0	2	1	1	1	0	0	1	0	1	0	6	0	0	0
Hhon_g00910.t1	60	7	1	17	8	15	81	1	146	3	4	1	68	164	25	22	94	2	24	14	3	3	9	4	9	0	17	2	2	19	7	3	5	12	10	1	1	4
Hhon_g00912.t1	84	3	3	13	15	29	88	3	186	3	5	3	88	226	38	26	91	10	27	17	5	4	3	4	0	5	16	3	3	21	3	3	5	18	13	1	5	5
Hhon_orphan_188	2	1	0	1	0	0	2	0	2	0	0	0	3	5	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00914.t1	34	3	0	9	6	6	38	3	67	2	2	0	40	94	6	9	33	2	4	5	1	1	0	0	2	3	8	2	0	7	0	3	3	7	9	1	1	1
Hhon_g00916.t1	62	5	6	17	15	22	78	5	132	6	1	2	71	142	16	16	84	3	15	6	5	3	5	2	1	5	13	7	0	11	1	3	5	8	9	1	1	5
Hhon_g00918.t1	62	8	5	8	20	9	61	2	139	4	6	0	54	203	29	26	75	6	22	10	5	5	12	3	1	5	20	6	2	17	4	2	8	10	8	2	2	3
Hhon_orphan_189	5	1	0	4	3	2	8	1	19	1	0	0	7	14	1	2	3	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	3	1	1	0	0	0
Hhon_g00921.t1	147	17	6	33	39	47	182	8	335	3	11	5	143	359	63	26	146	4	22	25	4	6	15	1	17	16	32	11	2	43	1	16	11	18	27	7	5	20
Hhon_g00923.t1	9	2	0	1	1	2	14	1	41	0	1	0	15	42	8	4	14	1	2	1	0	1	0	1	0	1	1	3	0	5	0	1	1	2	1	0	0	1
Hhon_g00925.t1	13	1	1	2	5	1	13	1	33	0	0	1	7	35	6	1	25	1	9	3	0	0	1	0	0	0	2	2	0	0	1	1	1	2	3	1	0	1
Hhon_g00926.t1	152	17	10	34	40	53	225	8	397	6	5	7	157	448	73	39	254	18	40	39	9	12	15	10	7	10	20	16	6	38	6	13	15	21	17	7	7	4
Hhon_g00927.t1	8	0	0	2	2	3	5	0	15	0	1	0	8	19	2	0	7	2	3	3	0	1	1	1	3	0	0	1	0	2	1	3	3	0	0	2	0	0
Hhon_g00929.t1	38	2	1	5	12	7	46	3	87	4	2	2	45	112	16	15	48	4	17	8	0	4	4	1	1	2	5	2	2	7	1	3	2	11	7	3	1	1
Hhon_g00930.t1	1211	79	89	335	210	410	1549	92	2266	57	63	87	1586	2390	442	339	1602	53	294	209	98	69	52	46	14	88	197	154	37	347	46	85	56	189	323	32	23	16
Hhon_g00932.t1	146	23	10	33	21	38	172	10	330	12	22	8	150	397	56	39	208	13	36	38	5	16	19	9	2	16	29	16	3	45	1	11	7	23	26	8	10	8
Hhon_g00933.t1	92	3	1	14	21	24	106	3	197	6	9	3	91	219	43	29	120	7	18	19	5	5	8	3	4	10	13	8	2	16	3	4	1	15	14	4	1	6
Hhon_g00936.t1	18	1	1	5	7	8	37	1	71	0	4	3	38	95	13	7	34	4	12	7	0	2	0	0	1	3	5	2	0	9	0	3	4	3	6	2	1	2
Hhon_orphan_190	14	0	0	6	4	3	18	0	42	4	0	0	19	56	7	4	20	0	3	3	0	1	3	0	0	0	4	3	0	1	0	1	0	0	4	1	1	0
Hhon_g00939.t1	133	11	7	36	34	33	197	13	326	4	12	15	167	357	71	48	180	11	26	29	7	7	7	4	4	10	23	11	10	32	3	7	14	22	31	8	7	4
Hhon_g00940.t1	46	4	0	11	11	19	73	0	115	4	7	1	48	200	30	13	89	11	16	8	0	3	5	1	3	2	19	9	0	19	0	1	3	5	6	6	3	6
Hhon_g00942.t1	19	0	2	3	5	5	17	2	70	1	5	0	22	111	17	5	17	1	0	10	0	3	1	0	1	1	7	4	1	6	1	1	1	0	2	2	1	2
Hhon_g00944.t1	378	40	15	70	74	100	416	27	797	15	33	22	396	1076	163	87	464	24	94	82	23	17	39	8	21	24	70	30	8	81	3	20	18	52	72	25	13	32
Hhon_g00947.t1	89	7	5	18	26	34	147	6	309	9	13	1	93	447	71	40	169	8	47	31	7	6	16	9	6	7	30	5	5	43	7	9	15	12	23	5	3	7
Hhon_g00949.t1	40	2	4	13	13	19	40	2	99	3	3	0	31	126	22	20	44	3	9	6	2	3	2	0	1	3	7	5	0	13	3	3	5	5	9	0	1	4
Hhon_g00951.t1	54	0	4	12	12	12	45	1	79	0	0	0	22	111	23	12	57	1	5	16	3	1	2	1	1	2	3	5	0	12	3	0	0	4	3	1	1	1
Hhon_orphan_191	2	0	0	0	1	1	4	0	11	0	0	0	5	14	3	0	1	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0
Hhon_g00952.t1	57	1	4	6	11	13	62	3	135	2	6	0	53	142	21	15	69	6	15	11	1	3	6	2	1	11	16	5	2	17	0	4	8	8	9	3	0	3
Hhon_orphan_192	1	0	0	0	0	0	1	0	1	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00953.t1	24	2	4	15	7	8	61	3	72	3	1	1	43	167	17	14	63	3	5	13	2	5	8	4	3	3	15	4	1	9	2	3	4	9	4	2	0	4
Hhon_g00954.t1	15	3	2	4	0	4	20	0	24	0	1	1	5	43	4	3	14	1	1	6	0	0	1	1	0	0	2	0	0	4	0	0	1	1	2	3	0	3
Hhon_g00955.t1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_orphan_194	3	1	0	0	0	1	2	0	5	0	0	0	1	6	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00957.t1	71	9	1	21	14	16	79	1	178	5	5	5	58	355	40	19	96	14	32	18	4	5	6	7	3	5	14	5	5	21	7	8	13	7	9	3	2	7
Hhon_orphan_195	1	0	0	0	0	0	0	0	2	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00958.t1	903	77	23	189	158	196	1037	47	2023	34	118	27	973	3087	400	185	1175	69	204	149	35	39	110	59	44	48	226	52	42	265	39	36	70	122	113	74	29	47
Hhon_g00959.t1	184	10	13	42	53	40	214	13	431	17	18	6	211	566	107	58	251	11	47	43	10	18	24	7	5	18	30	14	8	61	9	6	15	23	42	12	7	4
Hhon_g00961.t1	10	0	0	1	2	3	11	0	17	0	0	0	7	27	2	5	5	0	3	5	0	0	0	1	0	0	2	0	0	2	0	0	0	1	1	1	0	0
Hhon_orphan_196	0	0	0	0	2	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
Hhon_g00963.t1	20	3	3	5	4	1	33	2	68	2	4	0	27	86	21	9	36	2	10	6	5	1	1	1	2	5	3	3	4	9	0	3	3	0	6	2	2	3
Hhon_g00964.t1	26	0	4	5	5	10	34	0	59	1	0	0	40	79	16	8	21	3	15	3	0	2	4	2	4	1	6	3	4	7	3	1	3	0	7	1	3	3
Hhon_g00965.t1	6	1	0	0	0	2	12	0	5	0	0	0	7	25	2	4	9	0	1	3	1	1	1	1	0	0	2	1	0	2	0	0	1	1	1	0	0	0
Hhon_g00966.t1	524	24	51	132	98	143	664	49	995	16	47	48	721	1203	204	188	672	36	145	126	35	46	16	29	7	43	77	76	7	116	11	42	29	97	108	19	20	4
Hhon_g00969.t1	4	0	0	2	0	1	7	0	11	0	0	1	2	16	0	0	6	0	2	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0
Hhon_g00970.t1	0	0	0	1	0	2	3	1	4	0	1	0	1	12	1	0	2	0	1	0	0	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	1	0
Hhon_g00971.t1	158	20	10	53	35	42	227	12	398	13	7	11	192	465	65	50	201	14	52	36	9	8	13	4	7	17	32	16	3	56	5	5	16	29	39	7	3	9
Hhon_g00972.t1	30	5	1	4	12	5	33	3	78	2	2	2	41	88	12	6	32	1	4	14	0	2	3	1	1	0	3	3	0	10	0	6	5	2	4	2	0	1
Hhon_g00974.t1	1013	80	57	228	214	274	1199	77	2043	47	82	60	1019	2588	406	288	1210	67	199	193	43	53	103	18	36	84	217	101	30	267	35	50	94	133	187	41	26	34
Hhon_orphan_197	12	0	0	3	0	3	6	3	19	0	0	0	0	15	0	1	9	0	1	1	0	0	1	0	0	1	3	0	0	0	0	0	0	5	0	0	0	2
Hhon_orphan_198	58	4	4	11	20	15	62	3	99	4	0	4	43	102	18	16	53	2	10	16	2	7	2	3	3	0	10	1	3	15	4	6	6	15	11	4	0	1
Hhon_orphan_199	4	0	0	1	0	3	9	1	16	0	0	0	4	17	3	1	10	0	2	2	1	0	1	0	0	0	1	2	0	1	0	0	1	1	0	1	0	0
Hhon_g00979.t1	23	1	2	8	15	11	35	4	94	3	8	1	53	174	14	10	36	5	15	8	1	6	1	0	1	2	12	11	0	3	0	2	3	2	8	2	0	5
Hhon_g00982.t1	61	4	2	9	14	20	66	2	136	3	2	2	74	166	26	24	87	4	24	18	2	4	5	2	3	5	13	9	1	6	4	5	9	4	16	6	2	3
Hhon_orphan_200	18	2	1	5	5	3	31	1	64	1	4	1	37	103	21	7	20	2	10	9	1	2	8	0	3	0	3	2	3	11	0	3	4	6	5	0	2	3
Hhon_g00984.t1	194	11	7	51	36	53	254	14	420	16	11	11	211	611	72	67	253	9	42	42	18	12	16	3	6	14	34	18	9	47	8	5	24	24	39	10	5	4
Hhon_g00985.t1	28	2	1	10	4	7	34	7	67	0	1	1	32	89	23	13	45	0	11	6	2	3	4	0	1	3	5	10	1	13	0	5	5	2	5	2	1	5
Hhon_g00986.t1	143	15	24	47	30	44	179	10	273	6	8	10	187	330	67	43	154	11	30	25	8	13	6	7	3	16	14	28	6	35	5	6	4	41	38	6	4	1
Hhon_orphan_201	4	0	0	1	0	0	13	0	14	0	0	0	11	26	3	2	4	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	2	1	1	0	1
Hhon_g00987.t1	46	4	1	4	9	13	58	0	82	0	1	1	34	137	22	13	37	0	14	7	1	2	10	4	0	4	12	2	0	9	0	1	2	10	6	4	1	1
Hhon_g00989.t1	161	12	11	32	27	48	202	12	385	13	16	10	186	566	91	46	176	12	40	42	11	14	20	3	7	9	39	18	2	42	3	6	14	26	41	6	3	12
Hhon_orphan_202	65	4	1	8	9	8	66	7	75	4	3	4	45	94	17	12	61	1	13	7	2	3	0	0	0	2	8	9	2	7	4	3	0	3	11	1	1	0
Hhon_g00992.t1	1	0	0	0	2	3	7	0	13	1	0	0	8	17	6	1	8	0	6	2	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
Hhon_g00993.t1	8	0	1	2	0	3	5	0	28	1	0	0	12	25	3	3	7	2	3	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	2	0	0	0
Hhon_g00994.t1	14	1	0	2	3	2	14	0	30	0	0	0	11	41	5	2	11	0	2	1	1	4	2	0	0	1	1	1	2	0	0	0	0	4	1	0	0	0
Hhon_g00997.t1	131	10	7	29	28	27	115	7	243	6	9	11	134	301	47	26	156	9	38	19	8	4	17	0	8	6	25	8	4	24	2	9	7	17	21	3	3	7
Hhon_g00998.t1	14	1	0	2	4	3	15	1	25	0	2	1	12	30	7	2	12	3	4	1	0	0	2	1	1	1	2	1	0	2	1	0	1	0	5	0	1	0
Hhon_g00999.t1	84	5	5	20	9	11	100	3	145	0	7	3	90	224	33	26	106	5	32	26	6	1	3	3	1	4	10	8	1	23	4	6	5	9	17	0	10	4
Hhon_g01004.t1	47	3	7	17	13	10	75	5	135	7	9	4	58	282	42	21	92	8	25	18	4	6	8	3	3	7	11	15	0	23	3	1	12	15	21	5	4	2
Hhon_g01006.t1	11	0	2	3	3	3	22	0	37	3	0	0	21	59	7	4	23	0	8	1	1	1	0	1	4	0	2	2	0	3	0	0	0	1	4	1	0	0
Hhon_g01008.t1	505	43	28	130	123	161	629	32	1222	28	43	36	558	1547	224	150	661	42	146	120	25	42	64	20	23	48	128	42	5	136	15	35	47	64	118	19	14	24
Hhon_g01011.t1	11	1	0	3	4	2	20	1	41	0	0	2	15	51	4	3	21	0	3	6	0	3	1	0	1	3	2	1	0	8	1	3	2	3	1	0	1	1
Hhon_g01012.t1	26	2	3	10	12	20	30	1	126	2	3	1	31	126	11	8	29	3	6	5	1	2	0	0	1	0	1	0	1	5	0	3	0	2	8	3	0	1
Hhon_g01013.t1	237	17	12	63	38	54	262	20	578	14	25	12	235	827	131	56	286	28	72	67	12	25	25	6	7	17	60	14	6	65	4	17	40	26	38	4	8	15
Hhon_orphan_203	1	0	0	1	2	0	3	0	6	0	0	1	4	3	3	0	5	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0
Hhon_orphan_204	2	0	1	1	0	0	6	0	12	0	0	0	6	11	1	1	9	0	2	1	1	0	0	0	0	2	0	2	1	0	2	0	0	1	4	0	0	0
Hhon_orphan_205	1	0	0	1	0	1	4	0	8	0	0	0	3	11	4	1	2	0	3	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Hhon_g01014.t1	76	5	2	14	11	14	104	6	184	0	14	7	81	219	40	22	91	3	20	11	2	3	6	3	3	9	15	9	1	24	0	7	5	8	15	4	2	6
Hhon_g01015.t1	3849	311	220	1088	857	1177	4971	307	9461	222	347	216	4470	12490	1971	1235	5387	357	1286	915	212	269	491	141	186	273	813	432	107	1069	144	243	417	576	807	227	150	217
Hhon_g01016.t1	34	6	2	14	11	11	37	2	72	1	3	2	41	122	12	10	53	0	8	5	5	4	5	1	0	2	6	4	1	11	0	0	3	2	7	1	2	1
Hhon_orphan_206	9	0	1	4	2	6	21	0	21	0	3	0	18	63	14	5	26	1	9	7	0	3	6	0	1	0	2	1	0	5	0	2	5	1	3	1	0	0
Hhon_orphan_207	32	0	2	6	8	11	33	4	83	0	1	1	35	86	20	7	41	2	14	7	0	4	5	1	2	3	4	2	1	5	2	1	2	7	5	0	0	1
Hhon_g01018.t1	1621	156	101	338	342	525	2217	230	4725	88	114	132	1581	5846	826	538	2528	175	595	432	105	150	214	49	173	79	336	151	60	404	70	80	167	195	350	75	43	96
Hhon_g01019.t1	86	7	3	15	19	20	124	4	226	6	10	1	103	315	47	34	118	11	43	11	4	5	19	4	6	5	26	11	1	28	6	9	7	17	10	4	2	7
Hhon_g01020.t1	212	15	9	48	33	44	194	18	396	11	13	9	179	488	62	38	260	11	45	34	7	17	15	3	7	14	29	16	14	49	9	4	30	29	35	17	3	9
Hhon_g01022.t1	394	27	24	99	93	113	479	24	945	20	37	21	393	1318	191	132	516	39	108	115	13	26	35	16	17	24	99	32	17	127	17	24	36	67	92	17	16	23
Hhon_orphan_208	5	3	1	1	3	3	9	1	9	0	0	0	8	21	3	1	9	0	1	0	3	3	0	0	0	0	0	1	0	1	0	1	0	2	2	0	0	0
Hhon_g01024.t1	96	3	5	13	28	31	103	7	266	1	14	9	137	372	61	31	125	17	38	24	8	5	8	3	3	3	21	10	2	24	8	9	10	10	17	4	6	10
Hhon_g01026.t1	20	1	2	4	4	4	18	2	42	0	2	1	20	51	5	1	14	2	5	2	1	3	0	2	1	1	1	2	1	2	1	2	0	2	0	2	0	0
Hhon_g01027.t1	136	3	3	35	27	34	168	10	318	2	14	2	107	439	69	45	151	8	51	18	4	9	12	8	4	12	21	13	3	31	15	8	16	20	31	4	3	4
Hhon_g01032.t1	6	0	0	1	0	1	5	1	19	0	0	0	2	20	3	0	6	0	1	0	1	2	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0
Hhon_g01033.t1	81	4	4	16	26	20	120	3	227	7	11	1	80	329	47	24	119	10	28	28	1	4	11	5	4	4	23	10	2	19	7	10	15	14	15	5	1	5
Hhon_g01035.t1	91	11	4	25	19	29	140	4	199	2	9	3	100	251	36	32	142	8	30	22	2	11	8	4	3	5	16	10	3	20	5	5	5	18	20	4	3	2
Hhon_orphan_209	1	0	0	1	0	1	0	0	3	0	1	0	1	4	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g01037.t1	636	28	46	172	212	158	786	31	1876	45	106	58	706	3402	513	225	936	78	345	209	35	32	93	16	40	75	258	102	34	300	48	45	128	136	179	64	35	66
Hhon_g01040.t1	12	0	0	1	2	6	10	1	10	3	1	0	16	45	6	4	12	3	4	6	0	2	3	0	1	3	0	0	1	3	2	0	1	4	4	0	0	0
Hhon_orphan_210	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g01042.t1	15	2	4	10	4	8	19	0	51	2	1	0	19	48	7	4	25	3	5	2	0	0	1	0	1	1	8	0	0	7	0	2	0	3	4	0	0	3
Hhon_g01047.t1	13	0	0	5	3	3	14	1	29	1	0	0	4	39	3	5	15	1	5	4	1	0	0	1	0	2	2	1	0	2	1	1	0	2	3	1	0	1
Hhon_g01049.t1	50	5	3	12	16	16	85	4	120	0	6	1	63	146	22	19	71	1	23	8	0	1	8	1	3	2	12	5	1	19	0	2	2	9	4	2	0	2
Hhon_g01051.t1	175	14	10	51	26	50	200	17	395	8	19	12	212	467	73	43	216	13	44	43	6	11	18	3	12	8	36	19	8	30	7	12	11	29	40	5	11	10
Hhon_g01053.t1	9	1	0	3	2	2	27	0	30	2	1	0	14	53	8	7	24	1	5	6	0	0	0	0	2	2	4	1	0	4	1	2	2	4	4	3	0	2
Hhon_g00885.t1	8	0	0	0	1	0	5	0	25	1	0	0	8	20	1	2	4	0	0	0	0	0	2	0	0	1	4	2	0	2	0	0	0	5	3	3	0	0
Hhon_g00887.t1	10	1	0	4	2	1	12	1	23	0	1	0	9	28	2	7	13	0	2	0	0	0	2	0	1	0	4	0	2	5	0	1	0	1	5	2	1	0
