lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG52272	60	5	4	7	3	22	5	99	7	22	2	18	13	63	12	55	3	7	0	0	1	6	2	6	4	2	12	6	4	1	3	1	2
Tadh_TriadG52275	56	4	5	2	8	28	3	75	3	25	5	29	25	55	20	54	3	4	1	1	0	1	1	5	4	4	7	2	2	1	2	4	3
Tadh_TriadG52276	56	2	3	4	6	35	3	55	6	21	1	13	9	52	23	37	5	4	1	3	1	1	1	2	7	2	4	4	5	4	8	2	1
Tadh_TriadG20232	43	4	3	0	4	17	4	52	7	17	0	12	14	34	7	33	3	4	4	0	2	2	1	4	4	2	3	1	6	1	4	2	3
Tadh_orphan_26	1	0	0	0	0	1	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tadh_orphan_27	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_28	1	1	0	0	0	0	0	7	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tadh_TriadG52284	14	1	1	1	1	7	3	15	0	1	0	4	4	19	4	16	1	1	1	3	0	4	2	0	1	2	0	0	0	0	1	1	1
Tadh_orphan_29	1	1	0	0	1	1	0	3	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tadh_TriadG8076	68	5	4	3	4	31	6	70	14	23	0	22	12	75	22	67	1	11	3	2	0	9	1	4	11	4	7	0	3	1	12	2	2
Tadh_TriadG52287	98	9	5	1	5	41	7	82	5	30	3	23	10	97	14	69	2	14	3	1	0	12	1	4	6	7	9	0	3	1	26	1	1
Tadh_TriadG52288	74	5	5	4	3	30	5	87	6	30	2	18	8	69	20	63	2	2	4	1	0	4	2	4	2	5	10	3	2	1	9	2	3
Tadh_TriadG18823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Tadh_orphan_30	30	0	2	0	1	7	0	35	3	12	2	16	6	30	15	25	0	1	1	0	0	0	2	2	0	0	2	1	3	1	1	0	3
Tadh_TriadG18262	145	10	7	5	9	42	6	141	15	48	5	51	47	138	46	131	4	9	9	2	2	10	2	3	4	0	22	3	7	4	10	13	1
Tadh_TriadG18943	25	7	2	1	5	12	2	43	2	18	2	4	9	26	9	29	0	2	3	2	1	2	1	3	3	1	4	1	3	1	5	2	1
Tadh_TriadG52294	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g1039	12	0	0	0	0	1	0	10	0	5	0	0	1	4	4	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Tadh_orphan_31	2	0	0	0	1	0	0	5	0	0	0	0	2	5	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
Tadh_TriadG52295	45	6	3	2	5	24	2	44	7	8	0	17	9	38	4	47	2	0	4	0	1	1	1	2	7	0	6	1	2	1	3	1	0
Tadh_orphan_32	7	0	0	0	0	3	0	8	0	1	1	5	3	12	2	6	0	1	0	0	0	0	1	0	0	1	2	0	1	0	1	0	0
Tadh_TriadG52298	190	24	10	9	15	89	15	239	23	72	5	67	40	209	44	171	10	22	11	6	0	7	6	8	13	7	30	7	7	13	20	6	9
Tadh_TriadG52300	193	14	14	7	18	82	8	233	27	92	10	41	36	193	63	198	7	7	15	4	0	6	12	12	21	9	29	5	18	1	35	7	8
Tadh_orphan_33	1	1	0	0	0	2	1	3	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Tadh_TriadG52303	90	5	5	5	5	31	12	151	19	37	1	27	25	115	32	91	6	4	8	1	2	4	3	12	5	4	13	5	4	2	9	4	4
Tadh_TriadG52305	21	1	2	1	2	17	2	35	5	10	0	7	5	35	17	21	1	4	2	0	0	3	1	3	2	2	6	3	2	2	6	0	1
